Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TKN,F_TKN,TON,F_TON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI
gtmpcnut,01/12/2014 09:30,2,1,,0.032,0,0.083,0,0.052,0,0.005,<1> (CHB),0.019,<1> (CHB),0.024,0,0.076,0,0.750,0,0.698,0,1.30,<1> (CHB),2.70,<1> (CHB),2.20,<1> (CHB),41,0,,<-2> [GDM] (CSM),17.60,0,11.70,0,6.60,0,7.30,0,,<-1>
gtmpcnut,01/12/2014 12:00,2,1,,0.038,<1> (CHB),0.078,0,0.059,0,0.005,<1> (CHB),0.022,<1> (CHB),0.027,0,0.086,0,0.690,0,0.631,0,0.94,0,1.80,0,1.30,0,23,0,11,<1> (CHB),17.60,0,11.10,0,6.20,0,7.20,0,,<-1>
gtmpcnut,01/12/2014 14:30,2,1,,0.037,0,0.074,0,0.079,0,0.006,<1> (CHB),0.037,<1> (CHB),0.043,0,0.122,0,0.690,0,0.611,0,0.85,<1> [SBL],2.00,0,1.80,0,18,0,16,<1> (CHB),17.50,0,9.50,0,6.70,0,7.20,0,,<-1>
gtmpcnut,01/12/2014 17:00,2,1,,0.044,0,0.075,0,0.088,0,0.006,<1> [GQS] (CSM),0.045,<1> [GQS] (CSM),0.051,0,0.139,0,0.750,0,0.662,0,0.82,<1> [SBL],1.60,0,1.40,0,18,0,24,<1> (CHB),17.40,0,8.50,0,6.10,0,7.20,0,,<-1>
gtmpcnut,01/12/2014 19:30,2,1,,0.040,0,0.076,0,0.081,0,0.006,0,0.031,0,0.037,0,0.118,0,0.700,0,0.619,0,0.83,<1> [SBL],1.60,0,1.30,0,19,0,15,<1> (CHB),17.70,0,5.90,0,6.80,0,7.10,0,,<-1>
gtmpcnut,01/12/2014 22:00,2,1,,0.039,0,0.067,0,0.078,0,0.005,0,0.027,0,0.032,0,0.110,0,0.710,0,0.632,0,0.94,0,1.70,0,1.20,0,16,0,18,<1> (CHB),17.60,0,10.50,0,5.90,0,7.20,0,,<-1>
gtmpcnut,01/13/2014 00:30,2,1,,0.042,0,0.083,0,0.092,0,0.006,0,0.034,0,0.040,0,0.132,0,0.770,0,0.678,0,1.20,0,1.90,0,1.20,0,19,0,25,<1> (CHB),17.60,0,8.60,0,5.80,0,7.10,0,,<-1>
gtmpcnut,01/13/2014 03:00,2,1,,0.043,0,0.074,0,0.091,0,0.006,<1> [GQS] (CSM),0.039,<1> [GQS] (CSM),0.046,0,0.137,0,0.780,0,0.689,0,0.66,0,1.50,0,1.30,0,11,0,15,<1> (CHB),17.50,0,7.30,0,6.10,0,7.10,0,,<-1>
gtmpcnut,01/13/2014 05:30,2,1,,0.044,0,0.082,0,0.090,0,0.007,0,0.061,0,0.068,0,0.158,0,0.840,0,0.750,0,0.73,0,1.70,0,1.50,0,18,0,15,<1> (CHB),16.60,0,3.60,0,6.60,0,7.00,0,,<-1>
gtmpcnut,01/13/2014 08:00,2,1,,0.041,0,0.096,0,0.063,0,0.006,0,0.019,0,0.024,0,0.087,0,0.790,0,0.727,0,1.60,0,3.00,0,2.20,0,32,0,26,<1> (CHB),15.30,0,4.10,0,7.00,0,7.10,0,,<-1>
gtmpinut,01/13/2014 09:35,1,1,,0.025,0,0.051,0,0.034,0,0.002,<-4> [SBL],,<-4> [SCB],0.020,0,0.054,0,0.470,0,0.436,0,2.00,0,2.50,0,0.73,0,8,0,15,<1> (CHB),14.70,0,24.54,0,7.76,0,7.58,0,1.25,0
gtmpinut,01/13/2014 09:45,1,2,,0.026,0,0.051,0,0.031,0,0.002,<-4> [SBL],,<-4> [SCB],0.020,0,0.051,0,0.080,<-4> [SBL],,<-4> [SCB],2.10,0,2.50,0,0.58,0,8,0,11,<1> (CHB),14.70,0,24.54,0,7.76,0,7.58,0,,<-1>
gtmpcnut,01/13/2014 10:00,1,1,,0.066,0,0.095,0,0.034,0,0.005,0,0.022,0,0.027,0,0.061,0,0.720,0,0.686,0,2.30,0,3.30,0,1.40,0,8,0,,<-2> [GDM],14.70,0,11.50,0,7.10,0,6.00,0,0.40,0
gtmpcnut,01/13/2014 10:21,1,2,,0.042,0,0.073,0,0.033,0,0.005,0,0.011,0,0.016,0,0.049,0,0.800,0,0.767,0,2.50,0,3.40,0,1.30,0,10,0,25,<1> (CHB),14.70,0,10.40,0,7.10,0,6.00,0,,<-1>
gtmpcnut,01/13/2014 10:30,2,1,,0.033,0,0.074,0,0.036,0,0.004,0,0.009,0,0.014,0,0.050,0,0.700,0,0.664,0,1.40,0,3.00,0,2.50,0,24,0,21,<1> (CHB),14.90,0,13.20,0,7.10,0,7.50,0,,<-1>
gtmssnut,01/13/2014 10:47,1,1,,0.018,0,0.042,0,0.067,0,0.002,0,0.022,0,0.025,0,0.092,0,0.500,0,0.433,0,2.90,<1> (CSM),3.50,<1> (CSM),0.77,0,9,0,15,<1> (CHB),14.90,0,31.53,0,7.71,0,7.88,0,1.50,0
gtmssnut,01/13/2014 10:57,1,2,,0.018,0,0.044,0,0.066,0,0.002,0,0.024,0,0.027,0,0.093,0,0.430,0,0.364,0,2.80,0,3.50,0,0.91,0,9,0,18,<1> (CHB),14.90,0,31.53,0,7.71,0,7.88,0,,<-1>
gtmfmnut,01/13/2014 12:13,1,1,,0.011,0,0.029,0,0.014,0,0.002,<-4> [SBL],,<-4> [SCB],0.008,0,0.022,0,0.330,0,0.316,0,1.70,0,2.00,0,0.40,<-4> [SBL],7,0,2,<1> (CHB),15.00,0,33.07,0,7.81,0,8.01,0,1.75,0
gtmfmnut,01/13/2014 12:31,1,2,,0.009,0,0.033,0,0.012,0,0.002,<-4> [SBL],,<-4> [SCB],0.008,0,0.020,0,0.320,0,0.308,0,1.80,0,2.10,0,0.40,<-4> [SBL],9,0,2,<1> (CHB),15.00,0,33.07,0,7.81,0,8.01,0,,<-1>
gtmpcnut,02/25/2014 12:00,2,1,,0.036,0,0.071,0,0.031,0,0.003,<1> (CHB),0.006,<1> (CHB),0.009,0,0.040,0,0.094,0,0.063,0,1.20,0,2.10,0,1.40,0,8,0,210,<1> (CHB),17.70,0,0.40,0,6.50,0,6.00,0,,<-1>
gtmpcnut,02/25/2014 14:30,2,1,,0.034,0,0.068,0,0.024,0,0.003,<-4> [SBL],,<-4> [SCB],0.011,0,0.035,0,1.000,0,0.976,0,1.90,0,2.50,0,0.99,0,4,0,280,<1> (CHB),19.30,0,0.10,0,6.60,0,6.60,0,,<-1>
gtmpcnut,02/25/2014 17:00,2,1,,0.038,0,0.089,0,0.032,0,0.003,<-4> [SBL],,<-4> [SCB],0.008,0,0.040,0,1.100,0,1.068,0,1.20,0,1.90,0,1.10,0,16,0,150,<1> (CHB),19.70,0,0.30,0,6.60,0,6.60,0,,<-1>
gtmpcnut,02/25/2014 19:30,2,1,,0.036,0,0.084,0,0.050,0,0.004,0,0.016,0,0.019,0,0.069,0,0.900,0,0.850,0,2.10,0,3.10,0,1.50,0,14,0,120,<1> (CHB),20.40,0,2.10,0,6.60,0,6.70,0,,<-1>
gtmpcnut,02/25/2014 22:00,2,1,,0.036,0,0.081,0,0.028,0,0.003,<-4> [SBL],,<-4> [SCB],0.006,0,0.034,0,0.910,0,0.882,0,1.20,0,1.90,0,1.10,0,12,0,110,<1> (CHB),19.20,0,0.20,0,6.50,0,6.60,0,,<-1>
gtmpcnut,02/26/2014 00:30,2,1,,0.035,0,0.066,0,0.036,0,0.003,<-4> [SBL],,<-4> [SCB],0.004,<-4> [SBL],,<-4> [SCB],0.920,0,0.884,0,1.00,0,1.50,0,0.69,0,5,0,130,<1> (CHB),18.80,0,0.10,0,6.50,0,6.50,0,,<-1>
gtmpcnut,02/26/2014 03:00,2,1,,0.035,0,0.062,0,0.035,0,0.004,0,0.004,<-4> [SBL],0.004,0,0.039,0,0.960,0,0.925,0,0.93,0,1.40,0,0.68,0,2,0,120,<1> (CHB),18.20,0,0.10,0,6.50,0,6.50,0,,<-1>
gtmpcnut,02/26/2014 05:30,2,1,,0.037,0,0.069,0,0.036,0,0.004,0,0.004,<-4> [SBL],0.007,0,0.043,0,0.910,0,0.874,0,1.70,0,2.50,0,1.10,0,6,0,150,<1> (CHB),18.20,0,0.20,0,6.40,0,6.60,0,,<-1>
gtmpcnut,02/26/2014 08:00,2,1,,0.028,0,0.080,0,0.058,0,0.008,<1> [GQS] (CSM),0.004,<-4> [SBL] (CSM),0.007,0,0.065,0,0.850,0,0.792,0,3.60,0,5.30,0,2.70,0,21,0,74,<1> (CHB),19.30,0,12.50,0,6.30,0,7.20,0,,<-1>
gtmpinut,02/26/2014 08:34,1,1,,0.024,0,0.049,0,0.048,0,0.003,0,0.010,0,0.012,0,0.060,0,0.550,0,0.502,0,2.80,0,3.40,0,0.83,0,8,0,2,<1> (CHB),18.60,0,21.86,0,6.31,0,7.51,0,1.00,0
gtmpinut,02/26/2014 08:36,1,2,,0.023,0,0.050,0,0.045,0,0.003,0,0.008,0,0.011,0,0.056,0,0.590,0,0.545,0,3.20,0,3.90,0,1.00,0,7,0,5,<1> (CHB),18.60,0,21.86,0,6.31,0,7.51,0,,<-1>
gtmssnut,02/26/2014 09:33,1,1,,0.022,0,0.053,0,0.100,0,0.004,0,0.010,0,0.014,0,0.240,0,0.510,0,0.410,0,2.50,0,3.50,0,1.50,0,14,0,26,<1> (CHB),17.90,0,30.42,0,6.36,0,7.87,0,1.30,0
gtmssnut,02/26/2014 09:42,1,2,,0.024,0,0.047,0,0.099,0,0.002,<-4> [SBL],,<-4> [SCB],0.013,0,0.112,0,0.470,0,0.371,0,2.30,0,3.30,0,1.50,0,14,<1> (CSM),26,<1> (CHB),17.90,0,30.42,0,6.36,0,7.87,0,,<-1>
gtmpcnut,02/26/2014 10:30,2,1,,0.028,0,0.062,0,0.053,0,0.007,0,0.004,<-4> [SBL],0.007,0,0.060,0,0.790,0,0.737,0,2.20,0,3.30,0,1.70,0,13,0,100,<1> (CHB),19.00,0,13.40,0,6.40,0,7.20,0,,<-1>
gtmfmnut,02/26/2014 10:31,1,1,,0.018,0,0.039,0,0.056,0,0.002,0,0.004,0,0.006,0,0.062,0,0.490,0,0.434,0,1.40,0,1.70,<1> (CSM),0.50,0,7,0,8,<1> (CHB),18.50,0,31.98,0,6.07,0,7.90,0,1.20,0
gtmfmnut,02/26/2014 10:42,1,2,,0.018,0,0.042,0,0.064,0,0.002,0,0.005,0,0.007,0,0.071,0,0.550,0,0.486,0,1.90,0,2.10,0,0.40,<-4> [SBL],8,0,2,<1> (CHB),18.50,0,31.98,0,6.07,0,7.90,0,,<-1>
gtmpcnut,02/26/2014 10:52,1,1,,0.037,0,0.071,0,0.026,0,0.003,0,0.013,0,0.016,0,0.042,0,1.000,<1> [GQS] (CSM),0.974,<1> [GQS] (CSM),1.90,0,2.60,0,1.10,0,10,0,120,<1> (CHB),18.40,0,2.50,0,,<-2> [GDM],7.00,0,0.30,0
gtmpcnut,02/26/2014 11:15,1,2,,0.036,0,0.071,<1> [GQS] (CSM),0.020,0,0.003,<-4> [SBL],,<-4> [SCB],0.015,0,0.035,0,1.100,0,1.080,0,1.70,0,2.40,0,1.10,0,9,0,110,<1> (CHB),18.30,0,2.20,0,,<-2> [GDM],7.00,0,,<-1>
gtmpcnut,03/10/2014 08:30,2,1,,0.021,<1> (CHB),0.047,0,0.041,0,0.006,<1> (CHB),0.005,<1> (CHB),0.011,0,0.052,0,0.670,0,0.629,0,1.50,<1> (CHB),2.40,<1> (CHB),1.50,<1> (CHB),9,0,,<-2> [GDM] (CSM),18.00,0,19.80,0,7.80,0,7.60,0,,<-1>
gtmpcnut,03/10/2014 11:00,2,1,,0.025,0,0.053,0,0.056,0,0.008,0,0.014,0,0.022,0,0.078,0,0.680,0,0.624,0,0.77,0,1.60,0,1.30,0,8,0,11,<1> (CHB),17.70,0,17.50,0,7.50,0,7.50,0,,<-1>
gtmpcnut,03/10/2014 13:30,2,1,,0.028,0,0.049,0,0.063,0,0.006,0,0.018,0,0.025,0,0.088,0,0.630,0,0.567,0,0.77,0,1.40,0,0.98,0,5,0,10,<1> (CHB),17.60,0,16.90,0,7.30,0,7.50,0,,<-1>
gtmpcnut,03/10/2014 16:00,2,1,,0.024,0,0.052,0,0.058,0,0.006,0,0.008,0,0.014,0,0.072,0,0.570,0,0.512,0,0.66,0,1.20,0,0.85,0,8,0,16,<1> (CHB),17.50,0,12.60,0,7.20,0,7.30,0,,<-1>
gtmpcnut,03/10/2014 18:30,2,1,,0.023,0,0.057,0,0.056,0,0.006,0,0.010,0,0.016,0,0.072,0,0.630,0,0.574,0,1.00,0,2.00,0,1.50,0,12,0,20,<1> (CHB),18.30,0,18.20,0,7.30,0,7.50,0,,<-1>
gtmpcnut,03/10/2014 21:00,2,1,,0.028,0,0.057,0,0.083,0,0.007,0,0.024,0,0.030,0,0.113,0,0.670,0,0.587,0,0.63,0,1.20,0,0.85,0,8,0,7,<1> (CHB),18.30,0,17.70,0,6.90,0,7.50,0,,<-1>
gtmpcnut,03/10/2014 23:30,2,1,,0.027,0,0.049,0,0.080,0,0.007,0,0.027,0,0.034,0,0.114,0,0.630,0,0.550,0,0.55,<-4> [SBL],0.72,0,0.43,0,6,0,2,<1> (CHB),18.10,0,17.30,0,7.00,0,7.40,0,,<-1>
gtmpcnut,03/11/2014 02:00,2,1,,0.029,<1> [GSM] (CUS),0.048,<1> [GSM] (CUS),0.094,<1> [GSM] (CUS),0.007,<1> [GSM] (CUS),0.031,<1> [GSM] (CUS),0.039,<1> [GSM] (CUS),0.133,<1> [GSM] (CUS),0.600,<1> [GSM] (CUS),0.506,<1> [GSM] (CUS),0.55,<-4> [SBL] (CUS),0.75,<1> [GSM] (CUS),0.47,<1> [GSM] (CUS),3,<1> [GSM] (CUS),5,<1> [GSM] (CHB),18.00,0,15.60,0,6.70,0,7.30,0,,<-1>
gtmpcnut,03/11/2014 04:30,2,1,,0.024,<1> [GSM] (CUS),0.052,<1> [GSM] (CUS),0.073,<1> [GSM] (CUS),0.008,<1> [GSM] (CUS),0.016,<1> [GSM] (CUS),0.024,<1> [GSM] (CUS),0.097,<1> [GSM] (CUS),0.610,<1> [GSM] (CUS),0.537,<1> [GSM] (CUS),0.57,<1> [GSM] (CUS),1.10,<1> [GSM] (CUS),0.77,<1> [GSM] (CUS),10,<1> [GSM] (CUS),10,<1> [GSM] (CUS),18.30,0,14.00,0,6.70,0,7.40,0,,<-1>
gtmpcnut,03/11/2014 07:00,2,1,,0.022,<1> [GSM] (CUS),0.053,<1> [GSM] (CUS),0.052,<1> [GSM] (CUS),0.009,<1> [GSM] (CUS),0.004,<-4> [SBL] (CUS),0.011,<1> [GSM] (CUS),0.063,<1> [GSM] (CUS),0.700,<1> [GSM] (CUS),0.648,<1> [GSM] (CUS),1.20,<1> [GSM] (CUS),2.00,<1> [GSM] (CUS),1.30,<1> [GSM] (CUS),8,<1> [GSM] (CUS),8,<1> [GSM] (CUS),19.00,0,15.90,0,7.20,0,7.50,0,,<-1>
gtmpinut,03/11/2014 08:00,1,1,,0.028,0,0.056,0,0.044,0,0.005,0,0.013,0,0.018,0,0.062,0,0.600,0,0.556,0,2.40,0,3.00,0,0.76,0,6,0,2,<1> (CHB),16.06,0,21.04,0,7.63,0,7.56,0,0.80,0
gtmpinut,03/11/2014 08:12,1,2,,0.031,0,0.057,0,0.053,0,0.004,0,0.014,0,0.018,0,0.071,0,0.620,0,0.567,0,2.30,0,2.80,0,0.77,0,5,0,2,<1> (CHB),16.60,0,21.04,0,7.63,0,7.56,0,,<-1>
gtmpcnut,03/11/2014 09:05,1,1,,0.035,0,0.074,0,0.023,0,0.014,0,0.004,<-4> [SBL],0.010,0,0.033,0,0.860,0,0.837,0,1.70,0,2.30,0,0.81,0,7,0,72,<1> (CHB),18.20,0,17.30,0,6.90,0,7.50,0,0.35,0
gtmssnut,03/11/2014 09:05,1,1,,0.022,0,0.046,0,0.089,0,0.006,0,0.016,0,0.022,0,0.111,0,0.500,0,0.411,0,1.80,0,2.30,0,0.72,0,6,0,13,<1> (CHB),16.20,0,30.80,0,7.22,0,7.82,0,1.60,0
gtmpcnut,03/11/2014 09:12,1,2,,0.039,0,0.071,0,0.019,0,0.014,0,0.004,<-4> [SBL],0.010,0,0.029,0,0.930,0,0.911,0,2.00,0,2.50,0,0.69,0,4,0,100,<1> (CHB),17.20,0,17.30,0,6.90,0,7.50,0,,<-1>
gtmssnut,03/11/2014 09:15,1,2,,0.022,0,0.045,0,0.093,0,0.006,0,0.015,0,0.021,0,0.114,0,0.520,0,0.427,0,1.80,0,2.20,0,0.60,0,3,0,20,<1> (CHB),16.20,0,30.80,0,7.22,0,7.82,0,,<-1>
gtmpcnut,03/11/2014 09:30,2,1,,0.026,<1> [GSM] (CUS),0.051,<1> [GSM] (CUS),0.071,<1> [GSM] (CUS),0.008,<1> [GSM] (CUS),0.007,<1> [GSM] (CUS),0.014,<1> [GSM] (CUS),0.085,<1> [GSM] (CUS),0.660,<1> [GSM] (CUS),0.589,<1> [GSM] (CUS),1.00,<1> [GSM] (CUS),1.60,<1> [GSM] (CUS),0.80,<1> [GSM] (CUS),8,<1> [GSM] (CUS),10,<1> [GSM] (CUS),18.80,0,17.70,0,6.80,0,7.50,0,,<-1>
gtmfmnut,03/11/2014 09:55,1,1,,0.014,0,0.037,0,0.023,0,0.002,<-4> [SBL],,<-4> [SCB],0.006,0,0.029,0,0.410,0,0.387,0,2.30,0,2.80,0,0.63,0,6,0,2,<1> (CHB),17.00,0,32.03,0,7.15,0,7.99,0,1.70,0
gtmfmnut,03/11/2014 10:02,1,2,,0.014,0,0.033,0,0.028,0,0.003,0,0.004,<-4> [SBL],0.007,0,0.035,0,0.360,0,0.332,0,2.40,0,2.70,0,0.49,0,7,0,2,<1> (CHB),17.00,0,32.03,0,7.15,0,7.99,0,,<-1>
gtmpcnut,04/08/2014 08:30,2,1,,0.032,<1> (CHB),0.099,0,0.039,0,0.006,<1> (CHB),0.006,<1> (CHB),0.012,0,0.051,0,0.800,0,0.761,0,3.10,<1> (CHB),5.70,<1> (CHB),3.50,<1> (CHB),30,<1> (CSM),,<-2> [GDM],25.30,0,15.30,0,5.60,0,7.30,0,,<-1>
gtmpcnut,04/08/2014 11:00,2,1,,0.035,<1> (CHB),0.081,0,0.057,0,0.006,<1> (CHB),0.016,<1> (CHB),0.022,0,0.079,0,0.770,0,0.713,0,2.20,0,3.60,0,2.20,0,16,0,30,<1> (CHB),25.50,0,16.20,0,5.10,0,7.30,0,,<-1>
gtmpcnut,04/08/2014 13:30,2,1,,0.039,<1> (CHB),0.084,0,0.086,0,0.008,0,0.024,0,0.032,0,0.118,0,0.850,0,0.764,0,1.50,0,2.60,0,1.70,0,16,0,30,<1> (CHB),25.10,0,11.30,0,5.10,0,7.10,0,,<-1>
gtmpcnut,04/08/2014 16:00,2,1,,0.035,0,0.092,0,0.064,0,0.007,0,0.011,0,0.018,0,0.082,0,0.790,0,0.726,0,2.00,0,3.60,0,2.60,0,28,0,38,<1> (CHB),24.90,0,14.70,0,5.20,0,7.20,0,,<-1>
gtmpcnut,04/08/2014 18:30,2,1,,0.034,0,0.081,0,0.061,0,0.006,0,0.011,0,0.017,0,0.078,0,0.720,0,0.659,0,3.10,0,4.60,0,2.30,0,16,0,94,<1> (CHB),24.90,0,19.80,0,4.80,0,7.30,0,,<-1>
gtmpcnut,04/08/2014 21:00,2,1,,0.035,0,0.110,0,0.067,0,0.006,0,0.013,0,0.019,0,0.086,0,0.850,0,0.783,0,2.70,0,3.90,0,1.80,0,34,0,64,<1> (CHB),24.90,0,18.90,0,4.20,0,7.30,0,,<-1>
gtmpcnut,04/08/2014 23:30,2,1,,0.037,0,0.085,0,0.076,0,0.007,0,0.022,0,0.029,0,0.105,0,0.710,0,0.634,0,2.70,0,3.90,0,1.80,0,18,0,46,<1> (CHB),24.90,0,18.50,0,4.30,0,7.20,0,,<-1>
gtmpcnut,04/09/2014 02:00,2,1,,0.042,0,0.096,0,0.096,0,0.008,0,0.034,0,0.042,0,0.138,0,0.710,0,0.614,0,2.00,0,3.10,0,1.70,0,11,0,55,<1> (CHB),24.80,0,17.50,0,3.50,0,7.20,0,,<-1>
gtmpcnut,04/09/2014 04:30,2,1,,0.037,0,0.080,0,0.076,0,0.007,0,0.018,0,0.024,0,0.100,0,0.710,0,0.634,0,3.20,0,6.20,0,4.80,0,16,0,43,<1> (CHB),23.00,0,14.60,0,5.30,0,7.30,0,,<-1>
gtmpcnut,04/09/2014 07:00,2,1,,0.037,0,0.092,0,0.074,0,0.007,0,0.014,0,0.021,0,0.095,0,0.720,0,0.646,0,3.20,0,5.20,0,3.10,0,28,0,50,<1> (CHB),21.40,0,15.90,0,5.50,0,7.30,0,,<-1>
gtmpinut,04/09/2014 07:23,1,1,,0.039,0,0.077,0,0.089,0,0.006,0,0.011,0,0.017,0,0.106,0,0.840,0,0.751,0,2.90,0,3.90,0,1.40,0,13,<1> (CSM),13,<1> (CHB),22.20,0,16.39,0,5.82,0,7.57,0,,<-2> [GDM]
gtmpinut,04/09/2014 07:28,1,2,,0.040,0,0.076,0,0.085,0,0.007,0,0.010,0,0.016,0,0.101,0,0.790,0,0.705,0,3.00,0,3.90,0,1.50,0,13,0,13,<1> (CHB),22.20,0,16.39,0,5.82,0,7.57,0,,<-1>
gtmssnut,04/09/2014 08:38,1,1,,0.027,0,0.055,0,0.140,0,0.007,0,0.021,0,0.028,0,0.168,0,0.570,0,0.430,0,2.00,0,2.60,0,0.99,0,12,0,80,<1> (CHB),21.20,0,29.67,0,5.25,0,7.80,0,1.00,0
gtmssnut,04/09/2014 08:42,1,2,,0.027,0,0.057,0,0.140,0,0.007,0,0.023,0,0.029,0,0.169,0,0.500,0,0.360,0,1.90,0,2.50,0,0.97,0,20,0,78,<1> (CHB),21.20,0,29.67,0,5.25,0,7.80,0,,<-1>
gtmpcnut,04/09/2014 09:30,2,1,,0.038,0,0.083,0,0.086,0,0.008,0,0.021,0,0.028,0,0.114,0,0.620,0,0.534,0,2.10,<1> (CSM),3.30,0,1.90,<1> (CSM),11,0,33,<1> (CHB),22.80,0,17.30,0,4.60,0,7.30,0,,<-1>
gtmpcnut,04/09/2014 09:30,1,1,,0.047,0,0.081,0,0.040,0,0.009,0,0.018,0,0.027,0,0.067,0,0.770,0,0.730,0,5.00,0,5.70,0,0.92,0,6,0,76,<1> (CHB),21.00,0,5.82,0,6.29,0,7.25,0,,<-2> [GDM]
gtmfmnut,04/09/2014 09:45,1,1,,0.018,0,0.053,0,0.061,0,0.003,0,0.008,0,0.011,0,0.072,0,0.450,0,0.389,0,2.80,0,4.00,0,1.80,0,25,0,3,<1> (CHB),20.10,0,33.84,0,6.05,0,7.93,0,1.50,0
gtmfmnut,04/09/2014 09:52,1,2,,0.017,0,0.050,0,0.060,0,0.002,0,0.008,0,0.010,0,0.070,0,0.350,0,0.290,0,2.90,0,4.10,0,1.90,0,21,0,2,<1> (CHB),20.10,0,33.84,0,6.05,0,7.93,0,,<-1>
gtmpcnut,04/09/2014 09:54,1,2,,0.047,0,0.075,0,0.045,0,0.009,0,0.022,0,0.031,0,0.076,0,0.730,0,0.685,0,5.20,0,5.90,0,0.83,0,7,0,54,<1> (CHB),21.30,0,5.69,0,6.30,0,7.24,0,,<-1>
gtmpcnut,05/11/2014 08:30,2,1,,0.049,<1> (CHB),0.150,0,0.092,0,0.012,<1> (CHB),0.033,<1> (CHB),0.045,0,0.137,0,1.200,0,1.108,0,5.40,<1> (CHB),8.40,<1> (CHB),4.80,<1> (CHB),42,0,,<-2> [GDM] (CSM),27.10,0,8.50,0,4.40,0,7.00,0,,<-1>
gtmpcnut,05/11/2014 11:00,2,1,,0.053,0,0.120,0,0.088,0,0.013,<1> [GQS] (CSM),0.030,<1> [GQS] (CSM),0.042,0,0.130,0,1.100,0,1.012,0,3.80,<1> (CHB),5.70,<1> (CHB),3.10,<1> (CHB),22,0,,<-2> [GDM] (CSM),27.10,0,6.60,0,4.30,0,6.90,0,,<-1>
gtmpcnut,05/11/2014 13:30,2,1,,0.059,0,0.100,0,0.110,0,0.015,0,0.058,0,0.073,0,0.183,0,0.990,0,0.880,0,2.50,0,4.50,0,3.10,0,13,0,16,<1> (CHB),27.10,0,5.30,0,4.00,0,6.90,0,,<-1>
gtmpcnut,05/11/2014 16:00,2,1,,0.053,0,0.110,0,0.086,0,0.005,0,0.063,0,0.068,0,0.154,0,1.000,0,0.914,0,2.70,0,5.20,0,4.00,0,17,0,13,<1> (CHB),27.10,0,1.40,0,4.30,0,6.70,0,,<-1>
gtmpcnut,05/11/2014 18:30,2,1,,0.050,0,0.140,0,0.026,0,0.003,0,0.039,0,0.042,0,0.068,0,1.000,0,0.974,0,8.70,0,12.00,0,4.30,0,38,0,15,<1> (CHB),29.10,0,2.80,0,5.70,0,6.90,0,,<-1>
gtmpcnut,05/11/2014 21:00,2,1,,0.044,0,0.100,0,0.064,0,0.010,0,0.032,0,0.042,0,0.106,0,1.000,0,0.936,0,7.90,<1> (CSM),11.00,<1> (CSM),5.20,<1> (CSM),37,0,2,<1> (CHB),28.90,0,10.70,0,5.50,0,7.20,0,,<-1>
gtmpcnut,05/11/2014 23:30,2,1,,0.048,0,0.140,0,0.064,0,0.012,0,0.025,0,0.037,0,0.101,0,1.100,0,1.036,0,7.20,0,11.00,0,6.30,0,33,<1> (CSM),10,<1> (CHB),28.70,0,7.30,0,5.10,0,7.10,0,,<-1>
gtmpcnut,05/12/2014 02:00,2,1,,0.048,0,0.110,0,0.041,0,0.004,0,0.040,0,0.044,0,0.085,0,1.100,0,1.059,0,10.00,0,14.00,0,4.70,0,18,0,30,<1> (CHB),28.10,0,2.80,0,4.80,0,6.80,0,,<-1>
gtmpcnut,05/12/2014 04:30,2,1,,0.056,0,0.110,0,0.058,0,0.004,0,0.045,0,0.050,0,0.108,0,1.000,0,0.942,0,6.00,0,8.00,0,2.90,0,10,0,20,<1> (CHB),27.90,0,27.00,0,4.30,0,6.80,0,,<-1>
gtmpcnut,05/12/2014 07:00,2,1,,0.052,0,0.140,0,0.074,0,0.013,0,0.029,0,0.042,0,0.116,0,1.200,0,1.126,0,5.70,0,9.00,0,5.20,0,34,0,78,<1> (CHB),27.50,0,5.10,0,4.40,0,6.90,0,,<-1>
gtmpinut,05/12/2014 08:30,1,1,,0.030,0,0.060,0,0.061,0,0.004,0,0.080,0,0.084,0,0.145,0,0.540,0,0.479,0,5.20,0,6.50,0,1.80,0,9,0,11,<1> (CHB),25.10,0,27.71,0,4.77,0,7.44,0,0.50,0
gtmpinut,05/12/2014 08:31,1,2,,0.030,0,0.058,0,0.067,0,0.004,0,0.016,0,0.020,0,0.087,0,0.490,0,0.423,0,5.00,0,6.30,0,1.90,0,9,0,2,<1> (CHB),25.10,0,27.71,0,4.77,0,7.44,0,,<-1>
gtmpcnut,05/12/2014 08:51,1,1,,0.052,0,0.100,0,0.093,0,0.011,0,0.028,0,0.039,0,0.132,0,0.990,0,0.897,0,5.90,0,7.90,0,3.00,0,14,0,50,<1> (CHB),27.40,0,10.64,0,3.91,0,7.16,0,,<-2> [GDM]
