Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TDP,F_TDP,TP,F_TP,PHOSP,F_PHOSP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TDN,F_TDN,TN,F_TN,PN,F_PN,UncCHLa_N,F_UncCHLa_N,CHLA_N,F_CHLA_N,PHEA,F_PHEA,POC,F_POC,SiO4F,F_SiO4F,TSS,F_TSS,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,Color,F_Color,SECCHI,F_SECCHI,IRR0_N,F_IRR0_N,IRR1_N,F_IRR1_N,Kd_N,F_Kd_N
gtmssnut,02/05/2008 08:51,1,1,,0.006,0,0.014,0,0.032,<1> (CHB),0.018,<1> (CHB),0.014,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0068,0,0.021,0,0.176,0,0.285,0,0.1090,0,4.8,0,4.2,0,1.1,0,1.03,0,0.37,0,57.8,0,15.3,0,33.2,0,8.0,0,8.1,0,5.7,0,3.0,0,1.2,0,516.3,0,206.0,0,0.919,0
gtmssnut,02/05/2008 08:52,1,2,,0.008,0,0.027,0,0.029,0,0.002,0,0.017,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0067,0,0.024,0,0.212,0,0.280,0,0.0674,0,2.5,0,2.0,0,0.9,0,1.09,0,0.52,0,42.0,0,15.3,0,33.2,0,8.0,0,8.1,0,6.1,0,4.1,0,1.2,0,516.3,0,206.0,0,0.919,0
gtmpinut,02/05/2008 09:51,1,1,,0.018,0,0.024,0,0.047,0,0.023,0,0.016,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0062,<-4> [SBL],,<-4> [SCB],0.243,0,0.405,0,0.1622,0,5.7,0,4.9,0,1.5,0,0.88,0,1.25,0,27.2,0,16.5,0,30.2,0,7.3,0,7.9,0,4.0,0,21.8,0,1.7,0,1062.0,0,237.8,0,1.496,0
gtmpinut,02/05/2008 09:52,1,2,,0.017,0,0.029,0,0.059,0,0.030,0,0.021,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0065,0,0.028,0,0.276,0,0.366,0,0.0901,0,5.5,0,4.9,0,1.2,0,0.91,0,1.10,0,23.3,0,16.5,0,30.2,0,7.3,0,7.9,0,3.3,0,17.3,0,1.7,0,1062.0,0,237.8,0,1.496,0
gtmpcnut,02/05/2008 10:35,2,1,,0.023,0,0.035,0,0.038,0,0.003,0,0.018,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0075,0,0.025,0,0.290,0,0.323,0,0.0329,0,7.9,0,5.6,0,4.2,0,2.14,0,2.92,0,48.3,0,,<-1>,21.0,0,,<-1>,,<-1>,13.0,0,49.0,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmfmnut,02/05/2008 11:41,1,1,,0.008,0,0.018,0,0.027,0,0.009,0,0.016,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0064,0,0.022,0,0.227,0,0.366,0,0.1390,0,2.6,0,2.2,0,0.7,0,0.80,0,0.90,0,35.3,0,18.1,0,32.9,0,6.8,0,8.0,0,4.5,0,7.9,0,2.1,0,1368.0,0,409.0,0,1.207,0
gtmfmnut,02/05/2008 11:42,1,2,,0.009,0,0.014,0,0.029,0,0.015,0,0.014,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0062,<-4> [SBL],,<-4> [SCB],0.168,0,0.261,0,0.0929,0,2.8,0,2.4,0,0.6,0,0.74,0,0.61,0,35.4,0,18.1,0,32.9,0,6.8,0,8.0,0,3.9,0,4.5,0,2.1,0,1368.0,0,409.0,0,1.207,0
gtmpcnut,02/05/2008 12:46,1,1,,0.026,0,0.034,0,0.079,<1> (CHB),0.045,<1> (CHB),0.016,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0062,<-4> [SBL],,<-4> [SCB],0.293,0,0.398,0,0.1054,0,12.0,0,9.8,0,4.2,0,2.19,0,4.88,0,49.2,0,19.9,0,17.6,0,5.8,0,8.0,0,12.4,0,55.3,0,0.5,0,621.6,0,16.9,0,3.605,0
gtmpcnut,02/05/2008 12:47,1,2,,0.026,0,0.024,0,0.036,0,0.012,0,0.016,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0062,<-4> [SBL],,<-4> [SCB],0.219,0,0.374,0,0.1548,0,13.2,0,11.4,0,3.6,0,2.34,0,5.22,0,35.9,0,19.9,0,17.6,0,5.8,0,8.0,0,12.6,0,60.2,0,0.5,0,621.6,0,16.9,0,3.605,0
gtmpcnut,03/09/2008 12:15,2,1,,0.068,0,0.070,0,0.094,0,0.024,0,0.084,0,0.0069,0,0.0103,0,0.0172,0,0.101,0,0.590,0,0.725,0,0.1345,0,4.5,0,4.2,0,0.6,0,2.44,0,7.88,0,25.7,0,,<-1>,4.0,0,,<-1>,,<-1>,10.1,0,224.2,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,03/09/2008 14:45,2,1,,0.047,0,0.059,0,0.080,0,0.021,0,0.050,0,0.0067,0,0.0059,0,0.0126,0,0.063,0,0.588,0,0.765,0,0.1766,0,4.5,0,3.8,0,1.3,0,2.41,0,7.65,0,17.0,0,,<-1>,3.0,0,,<-1>,,<-1>,10.8,0,206.8,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,03/09/2008 17:15,2,1,,0.052,0,0.065,0,0.095,0,0.030,0,0.068,0,0.0071,0,0.0045,0,0.0116,0,0.080,0,0.695,0,0.815,0,0.1207,0,2.6,0,2.0,0,1.0,0,2.30,0,7.63,0,27.0,0,,<-1>,4.0,0,,<-1>,,<-1>,12.4,0,215.9,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,03/09/2008 19:45,2,1,,0.048,0,0.065,0,0.067,0,0.002,0,0.076,0,0.0073,0,0.0050,0,0.0123,0,0.088,0,0.757,0,0.882,0,0.1253,0,1.5,0,1.1,0,0.6,0,2.25,0,7.36,0,16.3,0,,<-1>,3.0,0,,<-1>,,<-1>,9.1,0,225.0,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,03/10/2008 00:45,2,1,,0.052,0,0.071,0,0.118,0,0.047,0,0.084,0,0.0063,0,0.0075,0,0.0138,0,0.098,0,0.613,0,0.772,0,0.1596,0,6.8,0,5.8,0,1.9,0,2.20,0,7.76,0,19.3,0,,<-1>,5.0,0,,<-1>,,<-1>,13.7,0,203.9,0,,<-1>,,<-1>,,<-1>,,<-1>
