2019,January,,February,,March,,April,,May,,June,,July,,August,,September,,October       ,,November,,December,
20,0.45,0.73,0.30,0.16,0.00,0.00,0.83,0.83,0.00,0.00,0.33,1.47,0.00,0.00,0.00,0.03,0.21,0.05,0.48,0.49,0.00,0.00,0.00,0.00
21,0.00,0.00,0.53,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.32
22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,1.00,0.00,0.00,0.53,0.61
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.15,0.00,0.00,1.93,2.15
24,0.48,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39,0.59,0.63,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.17,0.47,0.51
25,0.00,0.00,0.10,0.05,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,1.80,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,0.07,0.10,0.00,0.00,0.49,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,2.29,2.25,0.82,0.21,0.05,0.03,0.00,0.11,0.00,0.00,0.00,0.00,0.73,0.16,0.14,0.41,0.00,0.00,,,0.00,0.00,0.29,0.27
29,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.12,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,1.03
30,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,,,0.00,0.00,1.09,0.07
31,0.00,0.00,,,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.17,,,,,,,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,
Total,3.85,4.27,2.72,1.57,1.99,1.39,5.93,4.36,2.37,3.84,4.33,5.97,6.33,6.67,4.48,2.88,4.51,4.72,5.64,5.20,3.11,2.13,7.64,6.40
YTD,3.85,4.27,6.57,5.84,8.56,7.23,14.49,11.59,16.86,15.43,21.19,21.40,27.52,28.07,32.00,30.95,36.51,35.67,42.15,40.87,45.26,43.00,52.90,49.40
