"ANALYTE_SYNONYM_KEY"|"DEP_PRIMARY_ANALYTE_NAME"|"DEP_ANALYTE_ID"|"LONG_NAME"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"59"|"Nitrogen- Total Kjeldahl"|"1795"|"Nitrogen, Total Kjeldahl"|"01-JAN-2014 00:00:00"|""|"SANKURATRI_L"|"01-APR-2020 17:41:02"
"60"|"Nitrogen- Total Kjeldahl"|"1795"|"TKN"|"01-JAN-2014 00:00:00"|""|"SANKURATRI_L"|"01-APR-2020 17:41:02"
"61"|"Nitrate (N)"|"1805"|"Nitrate as N"|"01-JAN-2014 00:00:00"|""|""|""
"62"|"Nitrate (N)"|"1805"|"Nitrogen, Nitrate (NO3) as N"|"01-JAN-2014 00:00:00"|""|""|""
"63"|"Nitrate-Nitrite (N)"|"1820"|"Nitrate-Nitrite (NO3-NO2)"|"01-JAN-2014 00:00:00"|""|"ZIMMERMAN_JM"|"14-APR-2023 08:48:58"
"64"|"Nitrite (N)"|"1835"|"Nitrite as N"|"01-JAN-2014 00:00:00"|""|""|""
"65"|"Nitrite (N)"|"1835"|"Nitrogen, Nitrite (NO2) as N"|"01-JAN-2014 00:00:00"|""|""|""
"66"|"Orthophosphate (P)"|"1870"|"Orthophosphate as P"|"01-JAN-2014 00:00:00"|""|""|""
"67"|"Orthophosphate (P)"|"1870"|"OPO4"|"01-JAN-2014 00:00:00"|"06-FEB-2023 05:00:00"|"ZIMMERMAN_JM"|"06-FEB-2023 16:02:45"
"68"|"Orthophosphate (P)"|"1870"|"TRP"|"01-JAN-2014 00:00:00"|""|""|""
"69"|"Orthophosphate (P)"|"1870"|"Soluble Reactive Phosphorus (SRP)"|"01-JAN-2014 00:00:00"|""|""|""
"70"|"Orthophosphate (P)"|"1870"|"Phosphorus, phosphate (PO4) as P"|"01-JAN-2014 00:00:00"|""|""|""
"71"|"Dissolved Oxygen"|"1880"|"Dissolved oxygen (DO)"|"01-JAN-2014 00:00:00"|""|""|""
"72"|"Dissolved Oxygen"|"1880"|"DO"|"01-JAN-2014 00:00:00"|""|""|""
"73"|"Dissolved Oxygen"|"1880"|"Oxygen, Dissolved"|"01-JAN-2014 00:00:00"|""|""|""
"74"|"Phosphorus- Total"|"1910"|"Phosphorus, total"|"01-JAN-2014 00:00:00"|""|""|""
"75"|"Phosphorus- Total"|"1910"|"TDPO4"|"01-JAN-2014 00:00:00"|"06-FEB-2023 05:00:00"|"NELSON_JM"|"06-FEB-2023 15:14:42"
"76"|"Phosphorus- Total"|"1910"|"TPO4"|"01-JAN-2014 00:00:00"|"06-FEB-2023 05:00:00"|"NELSON_JM"|"06-FEB-2023 15:15:12"
"77"|"Phosphorus- Total"|"1910"|"Phosphorus as P"|"01-JAN-2014 00:00:00"|""|""|""
"78"|"Residues- Nonfilterable (TSS)"|"1960"|"Solids, Total Suspended (TSS)"|"01-JAN-2014 00:00:00"|""|""|""
"79"|"Residues- Nonfilterable (TSS)"|"1960"|"Total Suspended Solids"|"01-JAN-2014 00:00:00"|""|""|""
"80"|"Volatile Residues- Total"|"1970"|"Residues- Volatile"|"01-JAN-2014 00:00:00"|""|""|""
"81"|"Volatile Residues- Total"|"1970"|"Solids, Volatile"|"01-JAN-2014 00:00:00"|""|""|""
"82"|"Carbon- Organic"|"2040"|"Carbon- Total Organic"|"01-JAN-2014 00:00:00"|""|""|""
"83"|"Carbon- Organic"|"2040"|"Carbon, Organic"|"01-JAN-2014 00:00:00"|""|""|""
"84"|"Carbon- Organic"|"2040"|"Carbon, organic"|"01-JAN-2014 00:00:00"|""|""|""
