Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,SECCHI,F_SECCHI,TKN,F_TKN,TON,F_TON,FECCOL,F_FECCOL
gtmpcnut,11/13/2013 12:00,2,1,,0.019,,0.072,,0.014,,0.003,,0.004,<1> [SBL],0.004,,0.018,,0.544,,5.7,,7.7,,2.9,,24,,,,,,,,,,,,,,0.54,,0.526,,26,<1> [SUL] (CHB)
gtmpcnut,11/13/2013 14:30,2,1,,0.028,,0.076,,0.016,,0.003,,0.005,,0.009,,0.025,,0.679,,4.8,,6.2,,2,,15,,,,,,,,,,,,,,0.67,,0.654,,120,<1> (CHB)
gtmpcnut,11/13/2013 17:00,2,1,,0.028,,0.065,,0.013,,0.003,,0.006,,0.008,,0.021,,0.618,,4,,4.5,,0.8,<1> [SBL],14,,,,,,,,,,,,,,0.61,,0.597,,40,<1> (CHB)
gtmpcnut,11/13/2013 19:30,2,1,,0.2,,0.034,,0.005,,0.002,<1> [SBL],0.004,<1> [SBL],0.004,<1> [SBL],0.009,,0.484,,6.1,,7.8,,2.7,,26,,,,,,,,,,,,,,0.48,,0.475,,46,<1> (CHB)
gtmpcnut,11/13/2013 22:00,2,1,,0.019,,0.054,,0.007,,0.002,<1> [SBL],0.004,<1> [SBL],0.004,<1> [SBL],0.011,,0.384,,5.3,,6.7,,2,,14,,,,,,,,,,,,,,0.38,,0.373,,38,<1> [SUL] (CHB)
gtmpcnut,11/14/2013 0:30,2,1,,0.03,,0.065,,0.011,,0.002,<1> [SBL],0.004,<1> [SBL],0.004,,0.015,,0.544,,3.7,,4.8,,1.6,,13,,,,,,,,,,,,,,0.54,,0.529,,40,<1> (CHB)
gtmpcnut,11/14/2013 3:00,2,1,,0.037,,0.075,,0.019,,0.003,,0.004,,0.007,,0.026,,0.677,,2.3,,3,,0.92,,4,,,,,,,,,,,,,,0.67,,0.651,,,
gtmpcnut,11/14/2013 5:30,2,1,,0.034,,0.062,,0.018,,0.003,,0.004,<1> [SBL],0.006,,0.024,,0.566,,2.7,,3.6,,1.2,,8,,,,,,,,,,,,,,0.56,,0.542,,,
gtmpcnut,11/14/2013 8:00,2,1,,0.03,,0.066,,0.012,,0.002,<1> [SBL],0.004,<1> [SBL],0.004,<1> [SBL],0.016,,0.474,,4.4,,5.8,,2.1,,18,,,,,,,,,,,,,,0.47,,0.458,,100,<1> [SBL] (CHB)
gtmpcnut,11/14/2013 10:30,2,1,,0.022,,0.055,,0.007,,0.002,<1> [SBL],0.004,<1> [SBL],0.004,,0.011,,0.454,,4.3,,5.3,,1.4,,12,,,,,,,,,,,,,,0.45,,0.443,,45,<1> [SUL] (CHB)
