Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,TKN,F_TKN,TON,F_TON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ECOLI_MPN,F_ECOLI_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI,DOC,F_DOC
gtmpcnut,1/19/2016 10:00:00 PM,2,1,,0.033,,0.059,,0.043,,0.002,<-4> [SBL],0.022,,0.024,,0.067,,0.414,,0.39,,0.347,,1.2,,2.4,,1.8,,14,,20,<1> (CHB),,<-1>,14,,17.8,,9.4,,7.9,,,<-1>,,<-1>
gtmpcnut,1/20/2016 12:30:00 AM,2,1,,0.036,,0.074,,0.069,,0.002,<-4> [SBL],0.007,,0.009,,0.078,,0.329,,0.32,,0.251,,0.79,,2.2,,2.4,,18,,13,<1> (CHB),,<-1>,14,,16.6,,8.9,,7.9,,,<-1>,,<-1>
gtmpcnut,1/20/2016 3:00:00 AM,2,1,,0.039,,0.078,,0.087,,0.002,<-4> [SBL],0.032,,0.034,,0.121,,0.484,,0.45,,0.363,,0.95,<-4> [SBL],5,,6.9,,26,,23,<1> (CHB),,<-1>,14.1,,14.7,,8.4,,7.7,,,<-1>,,<-1>
gtmpcnut,1/20/2016 5:30:00 AM,2,1,,0.028,,0.059,,0.018,,0.002,<-4> [SBL],0.002,,0.004,,0.022,,0.384,,0.38,,0.362,,2.6,,5.1,,3.9,,12,,33,<1> (CHB),,<-1>,13.1,,15.3,,7.4,,7.8,,,<-1>,,<-1>
gtmpcnut,1/20/2016 8:00:00 AM,2,1,,0.02,,0.055,,0.009,,0.002,<-4> [SBL],0.023,,0.025,,0.034,,0.425,,0.4,,0.391,,4.9,<1> (CSM),7,<1> (CSM),3.1,<1> (CSM),17,,21,<1> (CHB),,<-1>,10.9,,22.2,,8.7,,8,,,<-1>,,<-1>
gtmpcnut,1/20/2016 10:30:00 AM,2,1,,0.021,,0.05,,0.008,,0.002,<-4> [SBL],0.015,,0.017,,0.025,,0.437,,0.42,,0.412,,4.8,,7.2,,3.6,,11,,23,<1> (CHB),,<-1>,10.9,,22.2,,8.4,,8,,,<-1>,,<-1>
gtmpinut,2/17/2016 8:05:00 AM,1,1,,0.019,,0.049,,0.017,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.021,,0.514,,0.51,,0.493,,4.1,,4.9,,1,,10,,4,<1> (CHB),,<-1>,15.6,,24.87,,7.94,,6.11,,1.1,,,<-1>
gtmpinut,2/17/2016 8:07:00 AM,1,2,,0.022,,0.05,,0.011,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.015,,0.554,,0.55,,0.539,,4.7,,5.5,,1.2,,11,,7,<1> (CHB),,<-1>,15.6,,24.87,,7.94,,6.11,,1.1,,,<-1>
gtmssnut,2/17/2016 9:28:00 AM,1,1,,0.015,,0.034,,0.037,,0.002,,0.007,,0.009,,0.046,,0.469,,0.46,,0.423,,2.3,,2.8,,0.75,,8,,50,<1> (CHB),,<-1>,15.4,,30.23,,7.81,,7.03,,1.3,,,<-1>
gtmssnut,2/17/2016 9:32:00 AM,1,2,,0.015,,0.035,,0.038,,0.003,,0.006,,0.009,,0.047,,0.479,,0.47,,0.432,,1.8,,2.3,,0.75,,8,,25,<1> (CHB),,<-1>,15.4,,30.23,,7.81,,7.03,,1.3,,,<-1>
